Date_Time,Altitude
2024-04-22 11:29:45.274230,0.7
2024-04-22 11:29:45.275011,0.7
2024-04-22 11:29:45.278876,0.705
2024-04-22 11:29:45.281541,0.705
2024-04-22 11:29:45.284337,0.705
2024-04-22 11:29:45.287869,0.7
2024-04-22 11:29:45.290547,0.705
2024-04-22 11:29:45.293074,0.705
2024-04-22 11:29:45.296120,0.7
2024-04-22 11:29:45.299223,0.705
2024-04-22 11:29:45.301972,0.705
2024-04-22 11:29:45.304602,0.7
2024-04-22 11:29:45.307044,0.705
2024-04-22 11:29:45.309802,0.7
2024-04-22 11:29:45.321261,0.7
2024-04-22 11:29:45.326182,0.705
2024-04-22 11:29:45.327018,0.705
2024-04-22 11:29:45.328536,0.7
2024-04-22 11:29:45.329826,0.705
2024-04-22 11:29:45.332081,0.705
2024-04-22 11:29:45.333032,0.705
2024-04-22 11:29:45.333865,0.705
2024-04-22 11:29:45.334623,0.7
2024-04-22 11:29:45.335454,0.705
2024-04-22 11:29:45.336325,0.7
2024-04-22 11:29:45.338423,0.705
2024-04-22 11:29:45.340101,0.705
2024-04-22 11:29:45.341457,0.7
2024-04-22 11:29:45.345654,0.705
2024-04-22 11:29:45.353103,0.705
2024-04-22 11:29:45.353939,0.705
2024-04-22 11:29:45.359389,0.705
2024-04-22 11:29:45.362312,0.7
2024-04-22 11:29:45.366545,0.695
2024-04-22 11:29:45.371114,0.7
2024-04-22 11:29:45.374897,0.705
2024-04-22 11:29:45.379060,0.705
2024-04-22 11:29:45.383238,0.7
2024-04-22 11:29:45.389195,0.705
2024-04-22 11:29:45.391524,0.7
2024-04-22 11:29:45.395712,0.7
2024-04-22 11:29:45.399976,0.705
2024-04-22 11:29:45.404131,0.705
2024-04-22 11:29:45.408293,0.705
2024-04-22 11:29:45.412457,0.7
2024-04-22 11:29:45.416590,0.7
2024-04-22 11:29:45.423623,0.7
2024-04-22 11:29:45.425162,0.7
2024-04-22 11:29:45.429572,0.705
2024-04-22 11:29:45.433300,0.705
2024-04-22 11:29:45.437433,0.705
2024-04-22 11:29:45.441667,0.7
2024-04-22 11:29:45.445757,0.705
2024-04-22 11:29:45.450028,0.705
2024-04-22 11:29:45.454372,0.7
2024-04-22 11:29:45.459202,0.7
2024-04-22 11:29:45.462504,0.705
2024-04-22 11:29:45.466750,0.705
2024-04-22 11:29:45.470875,0.7
2024-04-22 11:29:45.475057,0.7
2024-04-22 11:29:45.479260,0.705
2024-04-22 11:29:45.483385,0.705
2024-04-22 11:29:45.487534,0.705
2024-04-22 11:29:45.494996,0.7
2024-04-22 11:29:45.496421,0.705
2024-04-22 11:29:45.501295,0.705
2024-04-22 11:29:45.504265,0.7
2024-04-22 11:29:45.508412,0.705
2024-04-22 11:29:45.512661,0.7
2024-04-22 11:29:45.516815,0.705
2024-04-22 11:29:45.520932,0.705
2024-04-22 11:29:45.525375,0.705
2024-04-22 11:29:45.531118,0.7
2024-04-22 11:29:45.533480,0.7
2024-04-22 11:29:45.537709,0.705
2024-04-22 11:29:45.541854,0.705
2024-04-22 11:29:45.545949,0.705
2024-04-22 11:29:45.550234,0.705
2024-04-22 11:29:45.554387,0.705
2024-04-22 11:29:45.558555,0.705
2024-04-22 11:29:45.562743,0.7
2024-04-22 11:29:45.567928,0.705
2024-04-22 11:29:45.571026,0.705
2024-04-22 11:29:45.575329,0.705
2024-04-22 11:29:45.579795,0.7
2024-04-22 11:29:45.583651,0.705
2024-04-22 11:29:45.587744,0.7
2024-04-22 11:29:45.591917,0.7
2024-04-22 11:29:45.596119,0.705
2024-04-22 11:29:45.602702,0.7
2024-04-22 11:29:45.604475,0.7
2024-04-22 11:29:45.609244,0.705
2024-04-22 11:29:45.612875,0.705
2024-04-22 11:29:45.616994,0.7
2024-04-22 11:29:45.621118,0.705
2024-04-22 11:29:45.625402,0.705
2024-04-22 11:29:45.629572,0.705
2024-04-22 11:29:45.633677,0.705
2024-04-22 11:29:45.640344,0.7
2024-04-22 11:29:45.642189,0.705
2024-04-22 11:29:45.646240,0.705
2024-04-22 11:29:45.650803,0.7
2024-04-22 11:29:45.654597,0.7
2024-04-22 11:29:45.658755,0.7
2024-04-22 11:29:45.662879,0.705
2024-04-22 11:29:45.667116,0.7
2024-04-22 11:29:45.673730,0.695
2024-04-22 11:29:45.675405,0.705
2024-04-22 11:29:45.680460,0.7
2024-04-22 11:29:45.683856,0.705
2024-04-22 11:29:45.687984,0.705
2024-04-22 11:29:45.692182,0.7
2024-04-22 11:29:45.696321,0.705
2024-04-22 11:29:45.700555,0.705
2024-04-22 11:29:45.705011,0.695
2024-04-22 11:29:45.710073,0.705
2024-04-22 11:29:45.713069,0.705
