Date_Time,Altitude
2024-04-24 11:56:53.432254,nan
2024-04-24 11:56:53.480795,nan
2024-04-24 11:56:53.483787,nan
2024-04-24 11:56:53.484581,nan
2024-04-24 11:56:53.492432,nan
2024-04-24 11:56:53.495174,nan
2024-04-24 11:56:53.497565,nan
2024-04-24 11:56:53.499177,nan
2024-04-24 11:56:53.499875,nan
2024-04-24 11:56:53.502876,nan
2024-04-24 11:56:53.505906,nan
2024-04-24 11:56:53.508899,nan
2024-04-24 11:56:53.511538,nan
2024-04-24 11:56:53.514466,nan
2024-04-24 11:56:53.517022,nan
2024-04-24 11:56:53.543563,nan
2024-04-24 11:56:53.544337,nan
2024-04-24 11:56:53.545125,nan
2024-04-24 11:56:53.545824,nan
2024-04-24 11:56:53.547014,nan
2024-04-24 11:56:53.549792,nan
2024-04-24 11:56:53.555974,nan
2024-04-24 11:56:53.562207,nan
2024-04-24 11:56:53.568622,nan
2024-04-24 11:56:53.575382,nan
2024-04-24 11:56:53.580727,nan
2024-04-24 11:56:53.586992,nan
2024-04-24 11:56:53.593184,nan
2024-04-24 11:56:53.599381,nan
2024-04-24 11:56:53.605571,nan
2024-04-24 11:56:53.611836,nan
2024-04-24 11:56:53.618080,nan
2024-04-24 11:56:53.624169,nan
2024-04-24 11:56:53.630274,nan
2024-04-24 11:56:53.639504,nan
2024-04-24 11:56:53.642778,nan
2024-04-24 11:56:53.648987,nan
2024-04-24 11:56:53.655227,nan
2024-04-24 11:56:53.661494,nan
2024-04-24 11:56:53.667620,nan
2024-04-24 11:56:53.676143,nan
2024-04-24 11:56:53.680822,nan
2024-04-24 11:56:53.686180,nan
2024-04-24 11:56:53.692372,nan
2024-04-24 11:56:53.698579,nan
2024-04-24 11:56:53.704707,nan
2024-04-24 11:56:53.710994,nan
2024-04-24 11:56:53.717340,nan
2024-04-24 11:56:53.723468,nan
2024-04-24 11:56:53.729527,nan
2024-04-24 11:56:53.735767,nan
2024-04-24 11:56:53.742280,nan
2024-04-24 11:56:53.748967,nan
2024-04-24 11:56:53.754289,nan
2024-04-24 11:56:53.760580,nan
2024-04-24 11:56:53.766847,nan
2024-04-24 11:56:53.773052,nan
2024-04-24 11:56:53.782395,nan
2024-04-24 11:56:53.785778,nan
2024-04-24 11:56:53.791579,nan
